date,open,high,low,close,change_percent
1985-09-25,111.175,111.175,111.175,111.175,
1985-09-26,110.64,110.64,110.64,110.64,-0.48
1985-09-27,110.64,110.64,110.64,110.64,0.0
1985-09-30,110.62,110.62,110.62,110.62,-0.02
1985-10-01,110.62,112.16,110.565,112.14,1.37
1985-10-02,112.14,112.54,110.78,110.825,-1.17
1985-10-03,110.84,111.185,110.12,110.87,0.04
1985-10-04,110.87,110.87,109.855,110.075,-0.72
1985-10-07,110.075,110.135,108.175,108.2,-1.7
1985-10-08,108.2,108.27,106.75,107.16,-0.96
1985-10-09,107.16,108.99,107.115,108.63,1.37
1985-10-10,108.63,109.51,107.81,109.435,0.74
1985-10-11,109.435,111.12,109.425,111.05,1.48
1985-10-14,111.05,113.27,111.05,113.185,1.92
1985-10-15,113.185,113.98,112.79,113.38,0.17
1985-10-16,113.38,114.34,113.2,114.315,0.82
1985-10-17,114.315,115.34,114.315,114.74,0.37
1985-10-18,114.74,114.965,113.83,114.32,-0.37
1985-10-21,114.32,114.455,113.65,113.68,-0.56s
1985-10-22,113.8,114.89,113.425,114.44,0.67
1985-10-23,114.44,115.525,114.44,115.065,0.55
1985-10-24,115.065,116.105,115.065,115.485,0.37
1985-10-25,115.485,115.545,113.74,113.91,-1.36
1985-10-28,113.91,113.91,113.205,113.82,-0.08
1985-10-29,113.82,115.735,113.805,115.4,1.39
1985-10-30,115.4,116.125,115.34,115.77,0.32
1985-10-31,115.77,116.11,115.155,115.48,-0.25
1985-11-01,115.48,116.775,115.48,116.275,0.69
1985-11-04,116.275,117.075,115.825,116.04,-0.2
1985-11-05,116.04,116.565,115.88,116.44,0.34
1985-11-06,116.44,117.62,116.44,117.38,0.81
1985-11-07,117.38,117.965,117.38,117.62,0.2
1985-11-08,117.62,119.39,117.585,119.26,1.39
1985-11-11,119.26,120.54,119.18,120.4,0.96
1985-11-12,120.39,122.01,120.39,121.82,1.18
1985-11-13,121.82,121.915,120.9,121.165,-0.54
1985-11-14,121.165,121.915,120.8,121.835,0.55
1985-11-15,121.835,123.1,121.79,122.175,0.28
1985-11-18,122.175,122.28,121.73,121.955,-0.18
1985-11-19,121.955,122.8,121.735,122.57,0.5
1985-11-20,122.57,122.795,122.2,122.2,-0.3
1985-11-21,122.2,123.805,122.2,123.61,1.15
1985-11-22,123.61,124.335,123.445,123.97,0.29
1985-11-25,123.97,124.165,122.815,123.135,-0.67
1985-11-26,123.135,124.255,123.09,123.95,0.66
1985-11-27,123.95,125.875,123.88,125.77,1.47
1985-11-29,125.77,126.435,125.52,126.06,0.23
1985-12-02,126.06,126.28,124.855,125.185,-0.69
1985-12-03,125.185,125.42,124.72,125.23,0.04
1985-12-04,125.23,128.055,125.17,127.94,2.16
1985-12-05,128.07,129.89,127.86,128.46,0.41
1985-12-06,128.46,128.54,126.775,126.955,-1.17
1985-12-09,126.955,127.645,126.83,127.485,0.42
1985-12-10,127.485,128.525,127.155,127.975,0.38
1985-12-11,127.975,129.65,127.975,129.18,0.94
1985-12-12,129.18,130.1,129.18,129.765,0.45
1985-12-13,129.765,132.17,129.765,132.125,1.82
1985-12-16,132.125,133.185,132.06,132.61,0.37
1985-12-17,132.545,132.73,131.325,131.535,-0.81
1985-12-18,131.525,131.975,130.715,131.14,-0.3
1985-12-19,131.14,132.03,130.91,131.925,0.6
1985-12-20,131.925,132.58,131.695,132.26,0.25
1985-12-23,132.26,132.26,130.365,130.725,-1.16
1985-12-24,130.725,130.725,129.305,130.03,-0.53
1985-12-26,130.03,130.635,129.89,130.345,0.24
1985-12-27,130.345,131.59,130.25,131.485,0.87
1985-12-30,131.485,132.13,131.245,131.945,0.35
1985-12-31,131.945,132.66,131.905,132.295,0.27
1986-01-02,132.295,132.445,131.065,131.255,-0.79
1986-01-03,131.255,131.255,130.0,130.55,-0.54
1986-01-06,130.55,130.7,129.845,130.355,-0.15
1986-01-07,130.355,132.875,130.33,132.79,1.87
1986-01-08,132.79,133.885,131.15,131.16,-1.23
1986-01-09,131.005,131.16,128.055,128.8,-1.8
1986-01-10,128.8,129.97,128.79,129.565,0.59
1986-01-13,129.565,129.595,128.63,129.095,-0.36
1986-01-14,129.095,129.96,128.995,129.18,0.07
1986-01-15,129.18,131.655,129.005,131.535,1.82
1986-01-16,131.535,133.125,131.535,133.06,1.16
