date,open,high,low,close,change_percent
1999-03-10,102.125,102.3125,100.5625,102.125,
1999-03-11,102.875,103.4688,100.625,102.625,0.49
1999-03-12,102.25,102.3125,99.3125,100.125,-2.44
1999-03-15,100.875,103.125,99.8125,103.0,2.87
1999-03-16,103.4375,104.3125,102.3125,103.875,0.85
1999-03-17,103.875,104.0,102.8125,103.125,-0.72
1999-03-18,103.0,105.1875,102.9688,105.125,1.94
1999-03-19,106.5,106.5,102.375,102.4375,-2.56
1999-03-22,102.875,103.125,101.0,101.1875,-1.22
1999-03-23,100.625,101.0,97.4375,97.625,-3.52
1999-03-24,98.5,101.0,97.0,100.9375,3.39
1999-03-25,102.5,104.625,101.8281,104.625,3.65
1999-03-26,103.75,104.9375,103.0625,103.5,-1.08
1999-03-29,104.75,107.3125,104.125,107.25,3.62
1999-03-30,107.125,108.0,106.0625,106.5,-0.7
1999-03-31,108.25,108.375,104.625,104.9375,-1.47
1999-04-01,108.0,108.125,105.375,107.125,2.08
1999-04-05,108.8594,111.1562,108.1875,111.0,3.62
1999-04-06,110.875,112.4375,109.9375,111.2188,0.2
1999-04-07,112.25,112.5,107.6875,110.0625,-1.04
1999-04-08,109.875,111.4688,107.625,110.9375,0.8
1999-04-09,110.75,111.875,110.4375,111.625,0.62
1999-04-12,109.0,111.625,108.875,110.875,-0.67
1999-04-13,111.5625,111.8125,108.5,109.375,-1.35
1999-04-14,110.75,110.875,105.0156,105.625,-3.43
1999-04-15,106.0,107.2344,102.25,107.0625,1.36
1999-04-16,106.8125,106.8125,103.375,103.9375,-2.92
1999-04-19,104.625,105.5,98.0156,99.0625,-4.69
1999-04-20,98.625,102.125,97.6875,101.3125,2.27
1999-04-21,102.25,106.375,100.875,106.3125,4.94
1999-04-22,107.3125,109.5,106.6094,109.1875,2.7
1999-04-23,108.625,111.4375,107.5,110.625,1.32
1999-04-26,111.375,114.0,111.0156,113.1719,2.3
1999-04-27,114.0,114.5625,110.0156,111.4375,-1.53
1999-04-28,110.5,110.875,107.1406,107.625,-3.42
1999-04-29,107.125,107.75,104.5,106.75,-0.81
1999-04-30,108.25,108.8125,103.625,107.4375,0.64
1999-05-03,107.125,107.5625,105.0781,106.875,-0.52
1999-05-04,107.0625,108.75,104.5625,105.1875,-1.58
1999-05-05,105.25,108.375,102.0625,108.375,3.03
1999-05-06,107.375,108.3125,103.4375,104.4375,-3.63
1999-05-07,105.375,106.25,103.125,105.9375,1.44
1999-05-10,106.625,107.7188,105.375,107.0,1.0
1999-05-11,107.875,109.25,107.25,108.6875,1.58
1999-05-12,109.1875,111.3125,106.0,110.9375,2.07
1999-05-13,111.8125,112.0,108.375,108.875,-1.86
1999-05-14,106.75,108.0,106.0,106.8125,-1.89
1999-05-17,105.875,109.0625,104.8281,108.7344,1.8
1999-05-18,108.625,109.25,107.0,108.25,-0.45
1999-05-19,108.6875,109.8125,107.0,109.75,1.39
1999-05-20,109.9844,109.9844,106.5625,106.7344,-2.75
1999-05-21,107.0625,107.375,105.1875,105.75,-0.92
1999-05-24,105.9375,106.125,102.375,103.0625,-2.54
1999-05-25,102.9375,104.4375,99.25,99.6875,-3.27
1999-05-26,101.0,102.875,97.875,102.4688,2.79
1999-05-27,102.0625,103.8594,100.75,102.375,-0.09
1999-05-28,103.0,104.625,101.6875,104.0625,1.65
1999-06-01,103.875,104.375,101.1875,101.75,-2.22
1999-06-02,101.6875,104.0,99.1406,103.4688,1.69
1999-06-03,104.25,104.25,101.375,102.0,-1.42
1999-06-04,102.75,105.4844,102.75,105.125,3.06
1999-06-07,105.8594,107.9844,105.625,107.3125,2.08
1999-06-08,107.5625,108.0625,104.0781,104.625,-2.5
1999-06-09,105.0,106.6719,104.9375,106.375,1.67
1999-06-10,105.25,105.875,103.8906,105.1562,-1.15
