date,open,high,low,close,change_percent
1933-03-15,6.81,6.81,6.81,6.81,16.61
1929-10-30,22.99,22.99,22.99,22.99,12.53
1931-10-06,9.91,9.91,9.91,9.91,12.36
1939-09-05,12.64,12.64,12.64,12.64,11.86
1932-09-21,8.52,8.52,8.52,8.52,11.81
2008-10-13,912.75,1006.93,912.75,1003.35,11.58
2008-10-28,848.92,940.51,845.27,940.51,10.79
1931-06-22,14.61,14.61,14.61,14.61,10.51
1935-04-17,9.01,9.01,9.01,9.01,9.61
1933-04-20,7.82,7.82,7.82,7.82,9.52
1935-05-17,10.01,10.01,10.01,10.01,9.4
2020-03-24,2344.4399,2449.71,2344.4399,2447.3301,9.38
2020-03-13,2569.99,2711.3301,2492.3701,2711.02,9.29
1932-08-08,7.43,7.43,7.43,7.43,9.26
1987-10-21,236.83,259.27,236.83,258.38,9.1
1929-11-14,19.24,19.24,19.24,19.24,8.95
1933-06-19,10.68,10.68,10.68,10.68,8.87
1932-08-03,6.39,6.39,6.39,6.39,8.86
1933-07-24,10.5,10.5,10.5,10.5,8.81
1931-10-08,10.62,10.62,10.62,10.62,8.59
1931-12-18,8.36,8.36,8.36,8.36,8.29
1932-02-11,8.12,8.12,8.12,8.12,8.27
1938-10-10,13.91,13.91,13.91,13.91,8.25
1932-06-10,4.92,4.92,4.92,4.92,7.66
1933-05-01,8.43,8.43,8.43,8.43,7.66
1931-01-08,16.23,16.23,16.23,16.23,7.55
1931-06-03,13.12,13.12,13.12,13.12,7.54
1935-08-19,11.42,11.42,11.42,11.42,7.53
1932-11-10,7.44,7.44,7.44,7.44,7.51
1938-01-06,11.74,11.74,11.74,11.74,7.51
1937-10-20,11.93,11.93,11.93,11.93,7.48
1932-05-06,6.09,6.09,6.09,6.09,7.22
1933-04-19,7.14,7.14,7.14,7.14,7.21
1932-10-11,6.88,6.88,6.88,6.88,7.17
2009-03-23,772.31,823.37,772.31,822.92,7.08
2020-04-06,2578.28,2676.8501,2574.5701,2663.6799,7.03
1932-01-06,8.08,8.08,8.08,8.08,7.02
2008-11-13,853.13,913.01,818.69,911.29,6.92
1932-10-14,7.13,7.13,7.13,7.13,6.9
1933-04-10,6.54,6.54,6.54,6.54,6.86
1931-09-23,11.52,11.52,11.52,11.52,6.67
1933-07-03,11.62,11.62,11.62,11.62,6.51
2008-11-24,801.2,865.6,801.2,851.81,6.47
1933-10-04,10.29,10.29,10.29,10.29,6.41
2009-03-10,679.28,719.6,679.28,719.6,6.37
1933-04-24,7.91,7.91,7.91,7.91,6.32
2008-11-21,755.84,801.2,741.02,800.03,6.32
1932-08-15,7.44,7.44,7.44,7.44,6.29
1929-10-07,30.44,30.44,30.44,30.44,6.25
2020-03-26,2501.29,2637.01,2500.72,2630.0701,6.24
1932-11-04,6.88,6.88,6.88,6.88,6.17
2020-03-17,2425.6599,2553.9299,2367.04,2529.1899,6.0
1936-09-17,15.87,15.87,15.87,15.87,5.8
2002-07-24,797.71,844.32,775.68,843.43,5.73
1934-01-15,10.64,10.64,10.64,10.64,5.66
1940-11-07,11.39,11.39,11.39,11.39,5.56
2022-11-10,3859.8899,3958.3301,3859.8899,3956.3701,5.54
1929-11-15,20.3,20.3,20.3,20.3,5.51
1933-08-17,10.76,10.76,10.76,10.76,5.49
1932-06-02,4.64,4.64,4.64,4.64,5.45
2008-09-30,1113.78,1168.03,1113.78,1166.36,5.42
2002-07-29,852.84,898.96,852.84,898.96,5.41
1932-06-03,4.89,4.89,4.89,4.89,5.39
1932-07-25,5.48,5.48,5.48,5.48,5.38
1938-06-20,10.19,10.19,10.19,10.19,5.38
1937-11-10,11.96,11.96,11.96,11.96,5.37
1987-10-20,225.06,245.62,216.46,236.83,5.33
1932-11-07,7.24,7.24,7.24,7.24,5.23
2008-12-16,871.53,914.66,871.53,913.18,5.14
1997-10-28,876.99,923.09,855.27,921.85,5.12
1998-09-08,973.89,1023.46,973.89,1023.46,5.09
1929-10-31,24.15,24.15,24.15,24.15,5.05
1930-04-01,25.37,25.37,25.37,25.37,5.05
1932-12-06,6.87,6.87,6.87,6.87,5.05
1970-05-27,72.77,73.22,69.37,72.77,5.02
1931-04-30,15.09,15.09,15.09,15.09,5.01
2001-01-03,1283.27,1347.76,1274.62,1347.5601,5.01
1932-07-27,5.67,5.67,5.67,5.67,5.0
1933-05-10,8.82,8.82,8.82,8.82,5.0
1940-06-12,9.89,9.89,9.89,9.89,4.99
2018-12-26,2363.1201,2467.76,2346.5801,2467.7,4.96
2020-03-10,2813.48,2882.5901,2734.0,2882.23,4.94
1987-10-29,233.31,246.69,233.28,244.77,4.93
1937-11-26,10.67,10.67,10.67,10.67,4.92
1932-01-13,8.8,8.8,8.8,8.8,4.89
1932-08-23,8.15,8.15,8.15,8.15,4.89
1938-01-10,11.87,11.87,11.87,11.87,4.86
1938-04-01,8.91,8.91,8.91,8.91,4.82
1932-07-13,4.82,4.82,4.82,4.82,4.78
1940-06-11,9.42,9.42,9.42,9.42,4.78
2008-10-20,943.51,985.4,943.51,985.4,4.77
1982-08-17,105.4,109.04,104.09,109.04,4.76
2000-03-16,1392.15,1458.47,1392.15,1458.47,4.76
1934-06-08,10.17,10.17,10.17,10.17,4.74
2011-08-09,1120.23,1172.88,1101.54,1172.53,4.74
2002-10-15,841.44,881.27,841.44,881.27,4.73
1931-06-24,15.09,15.09,15.09,15.09,4.72
1933-05-29,9.78,9.78,9.78,9.78,4.71
1933-11-16,10.03,10.03,10.03,10.03,4.7
1933-01-04,7.15,7.15,7.15,7.15,4.69
1930-06-19,20.79,20.79,20.79,20.79,4.68
1932-02-15,8.5,8.5,8.5,8.5,4.68
1962-05-29,58.08,58.29,53.13,58.08,4.65
1930-12-17,15.11,15.11,15.11,15.11,4.64
2011-08-11,1121.3,1186.29,1121.3,1172.64,4.63
1933-06-12,10.89,10.89,10.89,10.89,4.61
1938-05-06,10.43,10.43,10.43,10.43,4.61
1974-10-09,67.82,68.15,63.74,67.82,4.6
2020-03-02,2974.28,3090.96,2945.1899,3090.23,4.6
1938-04-08,9.62,9.62,9.62,9.62,4.57
1932-04-14,6.25,6.25,6.25,6.25,4.52
1939-07-17,12.07,12.07,12.07,12.07,4.5
1932-09-07,9.31,9.31,9.31,9.31,4.49
1957-10-23,40.73,40.73,40.73,40.73,4.49
1931-10-20,10.96,10.96,10.96,10.96,4.48
1938-01-04,10.99,10.99,10.99,10.99,4.47
1930-10-01,19.42,19.42,19.42,19.42,4.46
1938-09-28,11.48,11.48,11.48,11.48,4.46
1941-12-30,8.74,8.74,8.74,8.74,4.42
1933-09-11,11.13,11.13,11.13,11.13,4.41
2010-05-10,1122.27,1163.85,1122.27,1159.73,4.4
1932-09-02,8.84,8.84,8.84,8.84,4.37
2001-04-05,1103.25,1151.47,1103.25,1151.4399,4.37
