date,open,high,low,close,change_percent
1993-01-29,43.8595,43.9688,43.75,43.9375,
1993-02-01,43.9688,44.25,43.9688,44.25,0.71
1993-02-02,44.2188,44.375,44.125,44.3438,0.21
1993-02-03,44.4063,44.8438,44.375,44.8125,1.06
1993-02-04,44.9688,45.0938,44.875,45.0,0.42
1993-02-05,44.9688,45.0625,44.7188,44.9688,-0.07
1993-02-08,44.9688,45.125,44.9063,44.9688,0.0
1993-02-09,44.8125,44.8125,44.5625,44.6563,-0.7
1993-02-10,44.6563,44.75,44.5313,44.7188,0.14
1993-02-11,44.7813,45.125,44.7813,44.9375,0.49
1993-02-12,44.875,44.875,44.5938,44.5938,-0.77
1993-02-16,44.4688,44.4688,43.4063,43.4688,-2.52
1993-02-17,43.4688,43.5313,43.2813,43.4375,-0.07
1993-02-18,43.9375,43.9375,42.8125,43.4063,-0.07
1993-02-19,43.4063,43.5625,43.3438,43.5625,0.36
1993-02-22,43.6875,43.7813,43.5625,43.7188,0.36
1993-02-23,43.8438,43.875,43.4688,43.6875,-0.07
1993-02-24,43.7188,44.25,43.7188,44.25,1.29
1993-02-25,44.2188,44.375,44.125,44.3438,0.21
1993-02-26,44.4375,44.4375,44.1875,44.4063,0.14
1993-03-01,44.5625,44.5625,44.2188,44.2813,-0.28
1993-03-02,44.3125,44.9375,44.25,44.9375,1.48
1993-03-03,45.0,45.1563,44.9375,45.125,0.42
1993-03-04,45.1875,45.1875,44.875,44.875,-0.55
1993-03-05,44.9375,45.125,44.7188,44.75,-0.28
1993-03-08,44.8438,45.75,44.8438,45.75,2.23
1993-03-09,45.6563,45.6875,45.5,45.5938,-0.34
1993-03-10,45.5938,45.6875,45.4063,45.6875,0.21
1993-03-11,45.7188,45.8438,45.5,45.5625,-0.27
1993-03-12,45.1875,45.2188,44.8125,45.0938,-1.03
1993-03-15,45.0625,45.3125,45.0625,45.3125,0.49
1993-03-16,45.3125,45.4375,45.3125,45.3125,0.0
1993-03-17,45.25,45.25,44.9688,45.0313,-0.62
1993-03-18,45.2188,45.5,45.2188,45.3125,0.62
1993-03-19,45.2813,45.2813,45.0313,45.0313,-0.15
1993-03-22,44.5938,44.875,44.5625,44.7813,-0.56
1993-03-23,44.9063,44.9375,44.8125,44.875,0.21
1993-03-24,44.8125,45.0625,44.5938,44.875,0.0
1993-03-25,44.9063,45.25,44.8438,45.1563,0.63
1993-03-26,45.125,45.1563,44.875,44.9063,-0.55
1993-03-29,44.9375,45.3125,44.9375,45.0938,0.42
1993-03-30,45.1563,45.2188,45.0938,45.2188,0.28
1993-03-31,45.3438,45.4688,45.1875,45.1875,-0.07
1993-04-01,45.25,45.25,44.9375,45.0313,-0.35
1993-04-02,44.6563,44.6563,44.0938,44.0938,-2.08
1993-04-05,44.4375,44.4375,44.1875,44.3125,0.5
1993-04-06,44.4063,44.4063,44.0625,44.1875,-0.28
1993-04-07,44.25,44.3438,44.1563,44.3438,0.35
1993-04-08,44.5313,44.5313,44.0938,44.2813,-0.14
1993-04-12,44.7188,44.9375,44.6563,44.9063,1.41
1993-04-13,44.875,45.1563,44.8438,45.0,0.21
1993-04-14,45.0313,45.0625,44.9063,44.9375,-0.14
1993-04-15,44.9063,45.0313,44.75,44.9375,0.0
1993-04-16,44.9688,45.0313,44.875,44.9375,0.0
1993-04-19,44.9375,45.0625,44.7188,44.75,-0.42
1993-04-20,44.6875,44.75,44.25,44.5313,-0.49
1993-04-21,44.625,44.625,44.375,44.5,-0.07
1993-04-22,44.3125,44.6875,43.9375,43.9375,-1.26
1993-04-23,43.8438,43.9688,43.6875,43.75,-0.43
1993-04-26,43.7813,43.9375,43.2813,43.4063,-0.79
1993-04-27,43.3438,43.875,43.3438,43.875,1.08
1993-04-28,43.8125,43.9063,43.7188,43.7813,-0.21
1993-04-29,43.875,43.9688,43.625,43.9688,0.43
1993-04-30,44.125,44.2813,44.0313,44.0313,0.14
1993-05-03,44.0938,44.3125,43.9063,44.3125,0.64
1993-05-04,44.4063,44.625,44.3438,44.4688,0.35
1993-05-05,44.4688,44.75,44.4688,44.5938,0.28
1993-05-06,44.5313,44.5625,44.4063,44.4375,-0.35
1993-05-07,44.4688,44.4688,44.2813,44.3438,-0.21
1993-05-10,44.4063,44.6875,44.4063,44.4375,0.21
1993-05-11,44.4375,44.625,44.3125,44.625,0.42
1993-05-12,44.4375,44.5938,44.4375,44.5625,-0.14
1993-05-13,44.375,44.375,44.0,44.0313,-1.19
1993-05-14,44.0313,44.1563,43.9688,44.0,-0.07
1993-05-17,44.125,44.1563,43.9375,44.1563,0.36
1993-05-18,44.1875,44.2188,43.9688,44.125,-0.07
1993-05-19,44.125,45.0313,43.8438,45.0313,2.05
1993-05-20,45.0313,45.1563,44.9375,45.1563,0.28
1993-05-21,45.1875,45.25,44.7188,44.75,-0.9
1993-05-24,44.8438,45.0938,44.8438,44.9375,0.42
1993-05-25,45.125,45.125,45.0313,45.0313,0.21
1993-05-26,45.1563,45.625,45.125,45.5938,1.25
1993-05-27,45.6563,45.6563,45.375,45.4375,-0.34
1993-05-28,45.4063,45.4063,45.0,45.2188,-0.48
1993-06-01,45.375,45.8125,45.3125,45.6563,0.97
1993-06-02,45.5313,45.75,45.3438,45.5938,-0.14
1993-06-03,45.5,45.5,45.3438,45.4375,-0.34
1993-06-04,45.3125,45.3125,45.0938,45.2813,-0.34
1993-06-07,45.375,45.375,45.125,45.125,-0.35
1993-06-08,45.0,45.0,44.7188,44.7188,-0.9
